start,end,ID
0,100,1
0,100,2
0,100,3
0,100,4
0,100,5
0,100,6
18999,19500,7
20006,20600,8
20066,20605,9
20947,21500,10
21979,22600,11
20508,21025,12
18176,18675,13
19514,20225,14
19070,19725,15
25824,26375,16
20113,20640,17
19286,19850,18
17235,17718,19
18840,20450,20
17945,18790,21
19493,20025,22
21588,22515,23
20350,20900,24
18088,18680,25
19295,19870,26
17135,17579,27
12354,13895,28
22326,22800,29
23528,24275,30
19859,20975,31
18822,19725,32
23884,24410,33
19383,19910,34
19986,20565,35
19352,20075,36
17654,18230,37
21794,22367,38
17622,18110,39
18891,19655,40
17663,18594,41
18779,19414,42
21496,22540,43
18122,18705,44
19339,19862,45
20254,20785,46
19086,19595,47
17061,17565,48
18982,20020,49
17369,17935,50
18634,19375,51
17510,17970,52
20481,21005,53
17979,18455,54
19803,20380,55
19793,20490,56
19463,20385,57
17746,18275,58
18991,19485,59
22242,22748,60
16498,16965,61
18087,18628,62
17439,17980,63
16827,17295,64
16953,17410,65
13573,14300,66
17626,18081,67
18858,19367,68
20378,21245,69
22883,23650,70
21644,22175,71
18472,18965,72
19583,20075,73
20705,21170,74
19778,20350,75
18233,18700,76
18126,18550,77
16298,19100,78
18039,18500,79
16404,16790,80
0,100,81
16536,16922,82
17402,17850,83
17733,18268,84
18416,18880,85
17135,17580,86
16608,17100,87
17218,17682,88
17198,17555,89
16404,17140,90
